##########################################################################################################################################################################################
##Format                                                                                                                                 ##
#DatasetID : Xsection(pb) : K-factor : Filtering Efficiency : Uncertainty :   Mass : Sample Priority :                 Generator :                 ProcessInfo :    Simulation ##
#########################################################################################################################################################################################

 361106	        1901.2	    1.026	      1.0	       --	     -999	    1	                        Powheg	                               Zee+	 Full	
 361107	        1901.2	    1.026	      1.0	       --	     -999	    1	                        Powheg	                             Zmumu+	 Full	
 361108	        1901.2	    1.026	      1.0	       --	     -999	    1	                        Powheg	                           Ztautau+	 Full	
 410000	       377.993	   1.1949	      1.0	       --	     -999	    1	                        Powheg	                            ttbarNp	 Full	
 410011	        43.739	        1	      1.0	       --	     -999	    1	                        Powheg	                     tchan_lept_top	 Full	
 410012	        25.778	        1	      1.0	       --	     -999	    1	                        Powheg	                 tchan_lept_antitop	 Full	
 410013	        34.009	        1	      1.0	       --	     -999	    1	                        Powheg	                   Wt_inclusive_top	 Full	
 410014	        33.989	        1	      1.0	       --	     -999	    1	                        Powheg	               Wt_inclusive_antitop	 Full	
 410015	        3.5835	        1	      1.0	       --	     -999	    1	                        Powheg	                    Wt_dilepton_top	 Full	
 410016	        3.5814	        1	      1.0	       --	     -999	    1	                        Powheg	                Wt_dilepton_antitop	 Full	
 410025	        2.0517	        1	      1.0	       --	     -999	    1	                        Powheg	        SingleTopSchan_noAllHad_top	 Full	

#VV
 361063	        12.583	        1	      1.0	       --	     -999	    1	                        Sherpa	                               llll	 Full	
 361064	        1.8446	        1	      1.0	       --	     -999	    1	                        Sherpa	                        lllvSFMinus	 Full	
 361065	        3.6235	        1	      1.0	       --	     -999	    1	                        Sherpa	                        lllvOFMinus	 Full	
 361066	        2.5656	        1	      1.0	       --	     -999	    1	                        Sherpa	                         lllvSFPlus	 Full	
 361067	        5.0169	        1	      1.0	       --	     -999	    1	                        Sherpa	                         lllvOFPlus	 Full	
 361068	        14.022	        1	      1.0	       --	     -999	    1	                        Sherpa	                               llvv	 Full	
 361069	       0.02575	        1	      1.0	       --	     -999	    1	                        Sherpa	                      llvvjj_ss_EW4	 Full	
 361070	      0.043375	        1	      1.0	       --	     -999	    1	                        Sherpa	                      llvvjj_ss_EW6	 Full	
 361071	      0.042017	        1	      1.0	       --	     -999	    1	                        Sherpa	                         lllvjj_EW6	 Full	
 361072	        0.1279	        1	      1.0	       --	     -999	    1	                        Sherpa	                         lllljj_EW6	 Full	
 361073	       0.02095	        1	      1.0	       --	     -999	    1	                        Sherpa	                             ggllll	 Full	
 361074	      0.015884	        1	      1.0	       --	     -999	    1	                        Sherpa	                      ggllll_M4l100	 Full	
 361075	      0.011826	        1	      1.0	       --	     -999	    1	                        Sherpa	                      ggllllNoHiggs	 Full	
 361076	      0.006272	        1	      1.0	       --	     -999	    1	                        Sherpa	                    ggllllOnlyHiggs	 Full	
 361077	       0.85492	        1	      1.0	       --	     -999	    1	                        Sherpa	                             ggllvv	 Full	
 361078	        0.3763	        1	      1.0	       --	     -999	    1	                        Sherpa	                      ggllvvNoHiggs	 Full	
 361079	        0.5374	        1	      1.0	       --	     -999	    1	                        Sherpa	                    ggllvvOnlyHiggs	 Full	
 361080	        0.0508	        1	      1.0	       --	     -999	    1	                        Sherpa	                      ggllvv_ZZcuts	 Full	
 361081	        25.995	        1	      1.0	       --	     -999	    1	                        Sherpa	                           WW->lvqq	 Full	
 361082	        25.974	        1	      1.0	       --	     -999	    1	                        Sherpa	                           WW->qqlv	 Full	
 361083	        12.543	        1	      1.0	       --	     -999	    1	                        Sherpa	                           WZ->lvqq	 Full	
 361084	        3.7583	        1	      1.0	       --	     -999	    1	                        Sherpa	                           WZ->qqll	 Full	
 361085	        7.4151	        1	      1.0	       --	     -999	    1	                        Sherpa	                           WZ->qqvv	 Full	
 361086	        2.3647	        1	      1.0	       --	     -999	    1	                        Sherpa	                           ZZ->qqll	 Full	
 361087	        4.6336	        1	      1.0	       --	     -999	    1	                        Sherpa	                           ZZ->qqvv	 Full	

#Sherpa Zjets from https://twiki.cern.ch/twiki/bin/view/AtlasProtected/CentralMC15ProductionList
 361372	        1718.6	        1	      1.0	       --	     -999	    1	                        Sherpa	              Zee_Pt0_70_CVetoBVeto	 Full	
